cct,proyeccion_1,proyeccion_2,proyeccion_3,proyeccion_4,proyeccion_5,mae,rmse,mape,rp,metodo
32DPR2447T,308,324,337,349,360,26.99,34.63,0.10,0.28,EP
32ETV0854J,19,19,19,19,20,3.01,3.97,0.17,0.10,EP
32ETV1086Q,76,76,76,76,76,11.90,14.22,0.18,0.60,ARIMA
32DJN0405Q,24,23,23,23,22,5.24,6.48,0.20,0.11,EP
32EES0070C,319,316,319,319,319,34.90,38.61,0.11,0.55,EP
32ETV0190V,48,48,46,45,43,14.98,16.69,0.24,0.35,EP
32EPR0030I,232,233,232,233,233,8.72,10.98,0.04,0.00,EP
32EJN0783Q,21,21,21,21,21,3.00,3.00,0.15,0.00,SLR
32DST0043Z,92,99,106,111,112,7.29,8.29,0.07,0.00,EP
32DPR1115X,219,225,218,215,210,10.37,13.43,0.05,0.06,EP
32DPR0487G,44,43,43,42,42,2.94,4.00,0.08,0.00,EP
32EJN0214Z,24,25,23,26,27,4.20,4.88,0.19,0.00,EP
32DPR1248N,51,48,47,42,41,8.13,9.28,0.16,0.06,EP
32DPR1684O,26,25,25,26,26,2.43,2.92,0.11,0.00,EP
32EPR0163Z,476,483,488,501,511,32.41,36.06,0.07,0.67,EP
32ETV0417J,86,90,100,100,98,13.70,15.62,0.13,0.30,EP
32ETV0853K,36,36,37,37,38,2.18,2.82,0.05,0.00,EP
32EPR0031H,194,191,194,192,190,23.69,29.07,0.11,0.44,EP
32ETV0986A,35,37,38,36,36,4.45,5.25,0.18,0.00,EP
32DPR0485I,132,131,130,130,129,7.25,8.33,0.07,0.00,EP
32DPR2448S,299,310,326,339,356,58.47,63.26,0.19,0.89,EP
32EES0071B,841,865,889,906,923,48.81,59.20,0.07,0.44,EP
32ETV1087P,10,10,10,10,10,0.90,1.02,0.09,0.00,ARIMA
32DPR0220A,383,386,389,390,390,18.35,24.81,0.05,0.28,EP
32DPR0486H,56,56,55,52,48,4.77,5.61,0.11,0.06,EP
32EJN0784P,12,11,10,10,9,1.20,1.34,0.09,0.00,SLR
32DPR1114Y,54,54,52,52,51,6.22,7.57,0.16,0.11,EP
32EJN0215Y,19,21,21,21,21,3.40,4.10,0.17,0.06,EP
32DJN0669Z,25,26,26,26,26,3.09,4.10,0.11,0.06,EP
32DPR1247O,11,11,10,9,9,1.89,2.33,0.16,0.06,EP
32DPR0351T,14,15,15,15,15,4.74,5.67,0.27,0.17,EP
32DPR0484J,203,209,214,219,221,17.08,22.04,0.12,0.39,EP
32DPR1113Z,104,99,98,99,99,5.84,6.78,0.06,0.00,EP
32EJN0786N,13,13,13,13,13,1.60,1.79,0.13,0.00,SLR
32ETV0192T,15,16,16,15,15,7.99,8.60,0.39,0.20,EP
32DPR2449R,319,320,327,331,337,24.11,27.57,0.09,0.50,EP
32ETV0856H,33,33,33,33,34,3.13,3.64,0.10,0.00,EP
32DPR1682Q,20,20,20,20,20,4.08,4.74,0.20,0.06,EP
32ETV0988Z,18,18,19,20,20,1.15,1.49,0.09,0.00,EP
32EJN0785O,13,14,15,15,16,0.55,0.67,0.05,0.00,SLR
32EJN0216X,46,47,46,46,46,4.70,5.71,0.12,0.00,EP
32ETV1084S,11,11,11,11,11,1.30,1.36,0.11,0.00,ARIMA
32DST0045X,213,204,198,203,207,12.47,15.42,0.06,0.05,EP
32EJN0652Y,21,21,21,21,21,3.83,4.61,0.21,0.00,EP
32ETV0722S,31,29,28,30,32,6.83,7.78,0.22,0.05,EP
32DPR1246P,74,73,72,71,70,4.51,5.67,0.05,0.00,EP
32DJN0539F,24,25,23,24,23,2.63,3.23,0.15,0.00,EP
32ETV0855I,32,34,35,32,32,1.96,2.81,0.06,0.00,EP
32DPR1379F,16,19,21,21,21,2.10,2.67,0.11,0.06,EP
32EJN0787M,7,5,4,3,2,0.70,0.82,0.07,0.00,SLR
32DST0046W,398,396,396,396,397,25.71,30.58,0.07,0.35,EP
32DPR0047J,291,295,297,294,294,19.21,24.37,0.07,0.33,EP
32DPR1112Z,92,92,94,94,94,7.95,9.63,0.11,0.11,EP
32DPR2317Z,19,20,21,23,24,3.56,4.22,0.13,0.00,EP
32ETV1085R,13,13,13,13,13,1.20,1.41,0.09,0.00,ARIMA
32EJN0521F,138,141,141,141,142,5.92,7.00,0.04,0.00,EP
32ETV0191U,45,49,50,53,54,3.88,4.81,0.07,0.00,EP
32ETV0419H,191,194,200,204,207,13.38,17.71,0.08,0.15,EP
32DPR0483K,394,393,393,394,395,12.37,15.15,0.03,0.06,EP
32DJN0406P,27,28,29,30,31,1.75,1.92,0.07,0.00,SLR
32ETV0987Z,43,43,43,43,43,7.59,9.07,0.17,0.12,EP
32DPR1245Q,170,170,173,172,175,10.76,12.69,0.07,0.11,EP
32EJN0217W,21,22,22,24,24,3.53,4.23,0.16,0.00,EP
32DPR0350U,42,39,37,37,35,4.19,5.13,0.14,0.06,EP
32EPR0162Z,222,229,236,230,229,10.92,12.30,0.05,0.00,EP
32EJN0522E,149,150,154,156,159,17.97,20.34,0.16,0.39,EP
32ETV0983D,18,18,19,19,19,3.13,3.73,0.17,0.06,EP
32DJN0181Z,108,113,113,118,119,18.72,23.52,0.14,0.50,EP
32DPR0224X,35,39,38,37,38,2.80,3.25,0.07,0.00,EP
32DPR1689J,91,91,90,89,89,6.79,8.00,0.10,0.11,EP
32PES0099N,140,143,143,148,148,10.66,14.90,0.07,0.11,EP
32DPR0357N,26,25,24,23,21,10.04,10.57,0.55,0.83,EP
32EJN0788L,14,16,18,20,22,2.25,2.38,0.26,0.00,SLR
32ETV1082U,15,15,15,15,15,1.14,1.41,0.08,0.00,ARIMA
32EPR0035D,132,128,126,124,125,6.10,7.13,0.05,0.00,EP
32EES0073Z,289,316,326,329,353,27.61,29.99,0.09,0.43,EP
32ETV0413N,12,11,11,12,12,2.60,3.28,0.26,0.15,EP
32DJN0711Y,18,17,18,19,18,1.56,1.93,0.09,0.00,EP
