cct,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
32DPR2447T,38,7,18,18,2,10,10,5,13,9,3,11,-7,-4,-17,17,7,12,34,55,27
32DPR1225C,-11,-7,-4,0,-4,-6,2,1,-7,-3,5,-5,5,2,-2,2,2,1,3,4,-5
32DPR0026X,-4,-7,-5,-8,2,0,1,1,2,5,-1,1,-8,3,-2,-3,-2,2,-2,4,3
32DPR0111U,-6,1,-3,22,-1,42,8,-7,-7,-3,10,-8,6,-5,2,-3,8,-3,9,7,4
32EPR0054S,-26,0,-22,-3,5,-1,11,0,6,56,7,31,-50,20,-1,-18,-22,34,52,179,-27
32DPR1661D,11,-23,8,-2,-9,-2,3,-2,6,1,2,3,-3,-3,-5,-2,0,-2,5,4,3
32DPR0244K,10,-11,-27,3,21,-2,-7,8,-5,-16,-3,-11,12,-16,-5,-7,16,-11,5,-13,7
32DPR0159N,8,2,0,8,-4,5,-5,0,-3,0,-10,0,-6,0,1,0,-8,-6,0,-3,-3
32DPR0680L,-5,1,-4,-3,-5,-1,4,-3,1,2,1,1,0,-5,16,-7,-2,3,-3,0,2
32EPR0030I,-35,-20,-7,-8,7,2,11,5,8,-3,-38,27,-10,-5,-5,2,-5,-3,2,9,11
32DPR0136C,-9,3,14,-4,-3,0,-1,1,0,4,-8,2,-10,9,-16,4,4,3,-3,2,-10
32DPR1357U,4,0,13,-1,-10,-5,-6,18,-2,8,5,7,3,5,7,-9,-1,2,2,6,-5
32DPR1200U,2,-1,0,-2,7,-2,-7,4,-3,11,-3,4,-7,-4,-6,-4,-4,0,-1,2,3
32DPR1115X,-6,-29,17,-13,-2,-5,-14,0,10,-8,-18,4,3,-15,-17,3,-2,-1,-2,13,-2
32DPR0487G,-2,-7,2,-4,-4,-2,-5,4,2,-7,5,-3,13,-1,2,2,4,-4,4,-1,-2
32DPR2424I,5,-6,6,-4,3,-8,-3,-3,1,-1,5,1,-4,5,2,4,-4,-11,3,9,0
32DPR0462Y,2,-1,0,3,-2,-4,-1,-1,2,-2,5,0,-1,3,-3,1,-9,-1,-9,-3,1
32DPR2339L,1,-2,11,-5,0,-3,0,3,-6,-2,1,-2,5,1,1,-2,-3,1,-3,1,-4
32DPR1248N,5,2,0,-17,4,-4,-2,-5,9,-5,2,2,-14,-2,-7,1,-10,3,-7,2,-1
