cct,proyeccion_1,proyeccion_2,proyeccion_3,proyeccion_4,proyeccion_5,mae,rmse,mape,rp
32DPR2447T,171,171,178,184,188,25.41,33.08,0.10,0.29
32DPR1225C,75,73,71,71,71,3.57,4.56,0.05,0.00
32DPR0026X,17,18,19,20,21,2.32,2.97,0.13,0.00
32DPR0111U,47,48,63,70,70,17.91,20.02,0.20,0.53
32EPR0054S,474,477,476,479,480,36.79,56.77,0.06,0.29
32DPR1661D,45,43,43,44,45,2.33,2.71,0.05,0.00
32DPR0244K,188,194,194,191,195,9.21,10.39,0.05,0.00
32DPR0159N,75,76,76,76,74,4.60,6.02,0.09,0.00
32DPR0680L,23,21,20,21,21,3.00,4.09,0.15,0.06
32EPR0030I,234,234,234,238,240,9.75,11.56,0.04,0.00
32DPR0136C,141,140,140,140,140,3.76,5.05,0.03,0.00
32DPR1357U,150,147,143,140,146,7.62,8.69,0.05,0.00
32DPR1200U,37,41,41,35,37,4.49,5.12,0.14,0.00
32DPR1115X,257,254,250,246,241,10.45,13.23,0.05,0.06
32PPR0039F,125,121,115,112,112,11.60,14.59,0.14,0.24
32DPR0487G,41,40,39,36,37,3.57,4.61,0.10,0.00
32DPR2424I,41,41,39,38,38,3.25,3.93,0.09,0.00
32DPR0462Y,35,34,31,30,30,3.11,4.22,0.15,0.12
32DPR2339L,18,17,15,16,17,2.23,2.66,0.18,0.06
32DPR1248N,84,81,79,77,74,8.15,9.51,0.15,0.12
32DPR1333K,43,43,44,42,52,7.45,9.06,0.22,0.35
32EPR0079A,402,387,379,373,368,20.92,22.81,0.06,0.24
32DPR1006Q,107,103,100,98,96,11.00,13.05,0.16,0.18
32EPR0163Z,378,380,394,407,401,33.69,36.06,0.07,0.65
32EPR0055R,333,327,340,344,345,11.34,13.89,0.03,0.06
32DPR1139G,40,41,41,40,39,2.85,3.57,0.07,0.00
32DPR1224D,30,29,24,20,18,5.92,6.84,0.47,0.41
32DPR0594P,42,40,38,37,37,5.93,6.96,0.30,0.35
32DPR0110V,287,278,280,290,291,13.66,16.71,0.04,0.12
32DPR1575H,18,20,21,20,18,2.40,3.02,0.17,0.00
32EPR0031H,299,298,293,283,281,22.92,27.77,0.11,0.47
32DPR0485I,109,102,102,102,104,6.71,7.88,0.06,0.00
32DPR0570F,190,192,206,211,209,10.94,12.04,0.05,0.00
32DPR0001O,201,180,169,162,152,37.78,42.24,0.64,0.76
32DPR2448S,140,154,166,186,204,58.99,63.09,0.19,0.88
32DPR0158O,138,122,114,120,110,18.85,22.34,0.24,0.35
32DPR0243L,84,86,89,90,90,9.27,11.87,0.09,0.06
32DPR0220A,473,457,459,458,455,17.95,24.86,0.05,0.29
32DPR0135D,43,34,36,42,43,8.03,9.41,0.27,0.29
32DPR0571E,35,35,36,35,36,2.75,3.07,0.08,0.00
32DPR0486H,45,48,49,51,50,4.20,4.78,0.10,0.00
32DPR1441S,33,32,24,21,21,6.18,7.22,0.42,0.29
32DPR1356V,15,15,16,16,16,1.77,2.43,0.10,0.00
32DPR1114Y,59,55,53,50,49,6.46,7.71,0.17,0.12
32PPR0038G,177,181,175,159,149,20.71,22.50,0.22,0.53
32PPR0123D,50,47,51,46,50,10.62,13.16,0.15,0.41
32DPR0377A,109,113,109,104,108,6.14,8.24,0.06,0.06
32DPR1332L,49,50,53,48,49,5.13,6.04,0.13,0.12
32DPR1247O,16,15,14,15,15,1.57,2.08,0.13,0.06
32DPR0461Z,131,123,127,128,125,13.26,15.47,0.10,0.18
32DPR0351T,31,30,33,33,35,4.89,5.95,0.29,0.24
32DPR0906A,19,19,17,19,17,3.37,4.09,0.15,0.00
32DPR1223E,107,109,125,137,134,12.46,14.58,0.09,0.18
32DPR0484J,74,77,77,75,79,16.03,20.84,0.12,0.41
32DPR0399M,78,77,75,70,70,4.59,5.68,0.07,0.00
32DPR1113Z,98,98,103,101,105,6.41,7.40,0.07,0.00
32DPR2449R,170,175,179,182,184,23.99,26.88,0.09,0.41
32DPR0157P,104,103,97,86,83,10.50,12.05,0.14,0.24
32DPR1029A,50,48,48,47,45,3.52,4.29,0.08,0.00
32DPR0242M,16,15,15,14,14,1.80,2.37,0.14,0.00
32EPR0077C,450,443,451,458,471,15.44,17.73,0.03,0.18
32DPR1682Q,32,31,32,27,25,4.11,4.75,0.20,0.06
32DPR1004S,56,58,57,56,56,4.70,5.48,0.11,0.00
32DPR0376B,90,92,95,93,94,5.83,6.97,0.07,0.00
32DPR2426G,37,37,36,34,33,1.64,2.28,0.05,0.00
32DPR0134E,98,104,106,102,97,5.43,6.31,0.06,0.00
32DPR1573J,24,23,22,19,18,5.24,5.82,0.36,0.18
32DPR1488M,112,109,100,97,97,9.99,11.70,0.12,0.06
32PPR0169Z,237,268,284,292,291,47.38,49.85,0.13,0.94
32DPR0024Z,39,38,36,39,37,5.10,6.06,0.15,0.12
32DPR0460Z,57,55,56,53,45,8.29,9.81,0.21,0.18
32DPR1246P,91,87,87,85,85,4.84,5.94,0.06,0.00
32DPR1331M,69,64,60,58,57,9.64,10.22,0.25,0.47
32DPR0156Q,65,63,61,58,57,6.53,7.51,0.16,0.18
32DPR1379F,19,20,20,18,19,2.06,2.74,0.11,0.06
32EPR0053T,353,347,350,364,369,17.50,21.58,0.04,0.12
32DPR1137I,27,27,26,23,21,3.88,4.73,0.27,0.24
32DPR1222F,212,212,226,227,231,18.44,21.25,0.07,0.24
32DPR0132G,33,33,31,31,31,2.20,2.70,0.08,0.00
32DPR0047J,203,218,243,228,228,22.52,26.61,0.08,0.47
32DPR1112Z,57,55,56,56,56,6.49,8.25,0.10,0.06
32DPR2317Z,35,33,32,29,30,2.65,3.29,0.09,0.00
32PPR0121F,136,131,125,125,124,15.38,19.12,0.16,0.29
32DPR0398N,179,179,181,190,196,11.18,12.68,0.05,0.06
32DPR0483K,387,395,403,400,413,12.48,14.77,0.03,0.06
32DPR1028B,20,20,21,19,20,2.05,2.60,0.11,0.00
32DPR0375C,225,217,209,210,213,10.72,13.41,0.05,0.00
32DPR2427F,68,64,66,66,74,12.38,13.93,0.12,0.35
32DPR1245Q,116,124,127,124,128,10.42,12.36,0.07,0.12
32DPR1330N,48,48,46,40,40,5.23,6.25,0.17,0.06
32EPR0078B,170,172,169,172,186,12.26,14.70,0.09,0.24
32DPR0133F,66,68,70,69,70,2.23,2.51,0.03,0.00
32DPR1269Z,34,36,34,36,34,4.48,5.79,0.18,0.12
32DPR1596U,23,22,20,19,19,2.93,3.35,0.18,0.06
32DPR1136J,136,137,134,138,136,6.45,8.02,0.05,0.00
32DPR0023Z,63,62,61,60,58,5.52,7.02,0.12,0.06
32DPR1221G,80,81,75,74,76,5.65,7.28,0.09,0.06
32DPR0350U,34,36,34,37,38,4.12,5.07,0.14,0.06
32PPR0168Z,207,203,202,209,203,16.00,19.53,0.07,0.12
32EPR0162Z,236,228,237,237,247,11.25,12.71,0.05,0.00
32PPR0011Z,67,67,61,62,56,7.41,8.57,0.16,0.29
32DPR0466U,24,24,24,24,24,2.18,3.44,0.10,0.06
32DPR1338F,164,159,175,179,179,11.68,13.35,0.08,0.06
32EPR0010V,526,506,545,578,583,34.97,40.36,0.08,0.71
32DPR0551R,63,62,60,60,60,3.59,4.73,0.06,0.00
32DPR1774G,569,575,583,587,594,19.99,25.24,0.03,0.29
32DPR0139Z,125,130,130,130,130,5.11,5.94,0.04,0.00
32DPR0224X,43,39,42,44,43,2.82,3.35,0.07,0.00
32DPR1689J,62,59,57,52,54,6.93,8.15,0.10,0.12
32DPR0442K,101,105,105,105,104,6.75,8.03,0.07,0.00
32DPR0357N,48,46,43,40,38,10.09,10.50,0.55,0.88
32PPR0120G,169,163,159,157,149,15.00,17.37,0.14,0.24
32DPR0200N,357,341,336,340,339,19.44,22.75,0.06,0.35
32DPR0115Q,142,134,133,153,139,20.91,22.66,0.14,0.29
32EPR0058O,486,484,480,469,471,9.95,11.97,0.02,0.00
32DPR2249T,299,305,307,313,323,16.77,20.34,0.05,0.18
32DPR0770D,45,45,42,44,45,6.64,8.70,0.11,0.12
32EPR0035D,138,136,132,133,140,5.94,6.94,0.05,0.00
32DPR0249F,64,60,62,64,68,4.28,5.06,0.07,0.00
32DPR0334C,135,133,132,130,130,7.39,9.04,0.07,0.00
32DPR1313X,68,67,68,62,54,6.46,7.94,0.13,0.12
32DPR1228Z,194,186,176,175,176,12.57,15.25,0.08,0.18
32DPR1531K,21,20,19,18,20,2.71,3.21,0.19,0.12
32DPR1446N,180,175,171,167,159,21.80,23.33,0.18,0.59
32DPR1882O,158,165,166,164,163,9.78,11.80,0.05,0.00
32DPR1204Q,18,17,19,20,21,2.81,3.67,0.14,0.12
32DPR0550S,21,21,22,24,23,2.08,2.51,0.12,0.00
32EPR0168U,17,17,16,16,16,2.21,3.02,0.13,0.12
32DPR1337G,147,142,140,139,139,6.72,8.31,0.05,0.00
32DPR0223Y,37,35,32,30,31,3.80,5.06,0.18,0.06
32DPR2444W,120,135,124,128,142,13.59,15.96,0.09,0.18
32EPR0011U,772,765,756,761,763,38.74,46.04,0.06,0.53
32DPR0465V,39,38,35,34,36,4.56,5.84,0.19,0.12
32DPR2359Z,27,28,31,33,33,3.72,4.80,0.10,0.06
32EPR0059N,338,365,397,394,399,25.34,31.23,0.06,0.35
32DPR1664A,233,226,221,222,221,10.31,13.77,0.05,0.06
32DPR0683I,34,33,33,32,24,4.37,5.34,0.23,0.12
32DPR0114R,66,62,62,62,57,9.91,11.56,0.17,0.18
32DPR0029U,45,53,51,52,51,10.33,12.05,0.14,0.29
