cct,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
32DPR2447T,6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,9,9,10,10,11,12
32EPR0030I,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
32DPR0136C,6,6,6,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6
32DPR1200U,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1
32DPR1115X,11,12,11,11,12,12,12,12,11,11,12,12,12,11,10,10,9,9,8,8,9,9
32DPR0487G,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2
32DPR1248N,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2
32DPR1333K,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,1
32EPR0079A,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
32DPR1684O,5,6,6,6,5,5,5,5,6,6,6,5,5,6,6,6,6,6,1,1,1,1
32EPR0163Z,12,13,13,13,14,14,14,14,15,16,17,17,17,18,18,18,18,18,18,18,18,18
32EPR0031H,14,14,13,12,12,12,12,12,12,12,12,12,12,12,12,10,11,10,10,10,10,10
32DPR0485I,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
32DPR0570F,9,9,9,8,8,8,9,10,10,11,11,11,11,11,11,11,10,9,10,10,9,9
32DPR0001O,12,11,11,11,10,9,8,8,7,6,6,6,6,6,6,6,5,6,2,2,2,2
32DPR2448S,6,6,6,6,6,7,8,9,11,11,11,12,12,13,13,13,13,14,14,14,14,15
32DPR0220A,18,17,17,17,17,17,17,18,18,18,19,19,19,20,21,20,21,21,17,16,16,16
32DPR0135D,4,4,4,4,4,3,3,4,4,4,4,4,4,3,3,3,3,6,2,3,3,3
32DPR0571E,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2
32DPR0486H,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2
32DPR1114Y,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2
32DPR1332L,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2
32DPR1247O,6,6,6,5,5,5,5,5,6,6,6,6,6,5,6,6,6,6,1,1,1,1
32DPR0351T,3,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,1,1,1,1
32DPR0484J,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7
32DPR0399M,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,3,3
32DPR1113Z,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,5,5
32DPR2449R,5,6,6,6,6,6,6,7,7,8,9,9,9,11,12,12,12,12,12,12,12,12
32DPR1029A,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2
32EPR0077C,13,14,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18
32DPR1682Q,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,6,1,1,1,1
32DPR0134E,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,3,4
32DPR1246P,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4
32DPR1331M,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2
32DPR1379F,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,1,1,1,1
32DPR1464C,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5
32DPR0132G,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1
32DPR0047J,8,8,8,8,7,8,9,9,10,10,10,10,10,10,10,10,12,12,12,12,12,12
32DPR1112Z,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,4,4,4,4
32DPR2317Z,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1
32DPR0398N,7,7,7,7,7,7,7,8,9,9,10,10,10,11,11,10,10,10,10,10,11,11
32DPR0483K,11,11,12,12,12,12,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14
32DPR1028B,6,6,6,6,5,5,5,5,5,5,6,5,5,5,6,6,6,6,1,1,1,1
32DPR1245Q,6,6,6,6,6,7,7,6,6,6,7,6,6,6,6,6,6,6,7,7,8,8
32DPR1330N,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,2
32EPR0078B,12,12,11,10,10,9,9,9,9,9,9,9,9,9,8,7,6,6,6,6,6,6
32DPR0133F,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,3,3
32DPR1596U,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,6,1,1,1,1
32DPR0350U,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,2,2
32EPR0162Z,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9
32PPR0011Z,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5
32DPR1338F,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
32DPR1774G,13,14,16,17,18,18,18,18,18,18,19,19,19,18,18,18,18,18,18,18,18,18
32DPR0139Z,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
32DPR0224X,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2
32DPR1689J,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,5
32DPR0442K,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4
32DPR0357N,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1
32EPR0035D,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
32DPR1204Q,6,5,6,6,5,5,5,6,6,6,6,6,6,6,6,5,6,6,1,1,1,1
32EPR0168U,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,1,1,1,1
32DPR1337G,8,9,8,8,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6
32DPR0223Y,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,1,1,1
32DPR2444W,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7
