cct,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
32ETV0854J,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3
32ETV0612M,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,2,2,2,3,3,3,3
32DST0067I,0,2,5,8,9,9,10,11,13,14,15,15,15,15,0,17,18,18,18,18,18,18,18,18
32ETV0745C,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3
32DES0042H,9,9,10,10,11,12,13,14,15,15,15,15,15,15,0,15,15,15,15,15,15,15,15,15
32EES0070C,6,6,6,6,7,7,8,9,9,9,9,9,10,9,0,9,9,9,9,9,9,9,9,9
32ETV0190V,5,6,5,6,6,6,5,5,5,5,5,5,5,4,0,3,3,3,3,3,3,3,3,3
32ETV0503F,3,3,3,3,3,4,4,5,5,5,4,4,4,4,0,5,6,5,5,5,6,6,6,6
32PES0079Z,0,0,0,0,0,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32ETV0635X,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,2
32ETV0720U,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,3,3
32DST0043Z,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4
32ETV0309B,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3
32ETV0526Q,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3
32ETV0081O,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3
32ETV0611N,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3
32PES0055Q,3,3,3,3,3,3,3,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
32ETV0962R,0,0,0,1,2,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,2,2,2
32ETV0877U,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3
32ETV0502G,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3
32ETV0417J,3,3,3,3,3,5,5,6,6,6,6,6,6,6,0,5,5,5,6,6,5,5,6,6
32DES0041I,12,14,16,18,19,21,23,24,24,24,24,24,24,24,0,24,24,24,24,24,24,24,24,24
32DST0068H,0,1,2,4,5,6,6,6,6,6,6,6,6,6,0,6,6,6,6,6,6,6,6,6
32ETV0853K,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3
32ETV0080P,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0,0,0,0,0,0
32ETV0768N,3,3,3,3,3,4,4,4,5,6,6,6,6,6,0,6,6,6,6,6,4,5,6,6
32ETV0308C,3,3,3,3,3,4,4,4,5,5,4,4,5,5,0,5,6,6,6,6,6,6,6,6
32ETV0986A,0,0,0,0,1,2,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3
32DST0020O,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,6,6,6,6,6,6,6,6,6
32ETV0744D,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3
32ETV0634Y,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3
32DST0069G,0,0,2,4,7,9,11,12,12,12,13,13,14,15,0,15,15,15,16,16,16,16,16,16
32ETV0610O,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3
32ETV0961S,0,0,0,2,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32ETV0876V,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,0,0,3
32ETV0614K,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3
32ETV0965O,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32DES0044F,0,0,0,0,0,2,4,5,7,8,9,9,11,12,0,14,15,16,17,17,18,18,18,18
32ETV0192T,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3
32ETV0505D,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3
32PES0077B,0,0,0,0,0,2,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
32ETV0941E,0,1,2,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3
32ETV0856H,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3
32DST0021N,16,16,16,16,16,16,17,18,18,18,18,18,18,18,0,18,18,18,18,18,18,18,18,18
32ETV0988Z,0,0,0,0,1,2,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3
32ETV0831Z,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,2,3,3,3,3,0,0,0,0
32DST0045X,7,7,7,7,7,7,7,7,7,7,7,7,8,8,0,7,7,7,7,7,7,7,7,8
32ETV0879S,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3
32ETV0964P,0,0,0,2,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3
32ETV0083M,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3
32ETV0637V,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3
32ETV0722S,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3
32PES0053S,3,4,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
32DST0022M,9,9,9,9,9,9,9,9,9,9,10,11,12,12,0,12,12,12,12,12,12,12,12,12
32ETV0940F,0,2,2,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,4,3,3
32ETV0855I,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3
32ETV0528O,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3
32ETV0613L,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,0,0,0,0,0,0
32DST0046W,6,6,7,8,9,9,9,9,9,9,9,9,9,9,0,11,12,12,12,12,12,12,12,12
32PES0078A,0,0,0,0,0,1,4,6,3,3,3,3,3,3,0,3,3,3,3,3,0,0,0,0
32ETV0746B,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3
32ETV0191U,3,3,3,3,3,3,3,4,4,4,3,3,3,3,0,3,3,4,4,4,3,3,3,3
32ETV0419H,3,3,5,6,6,7,7,7,6,7,6,6,6,7,0,6,6,6,7,7,7,7,8,9
32DES0043G,0,0,0,0,2,4,6,8,11,11,12,12,12,12,0,12,12,13,13,13,15,15,15,15
32ETV0987Z,0,0,0,0,1,2,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3
32ETV0830Z,3,3,1,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,3,3,3,3,3,3
