cct,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
32PPR0132L,633,619,551,522,537,600,641,728,733,686,695,658,651,579,486,465,467,455,425,402,362,358
32PPR0160H,139,134,118,126,138,136,152,153,154,128,120,105,88,96,91,82,72,69,91,115,149,190
32PPR0087P,166,160,173,184,178,141,143,152,148,145,162,170,184,171,153,144,136,135,150,145,144,157
32PPR0023E,422,427,445,424,412,420,395,336,320,355,392,393,429,405,414,431,424,430,400,395,397,385
32PPR0007N,679,641,591,526,474,423,364,350,349,339,348,358,368,386,379,371,365,361,350,336,347,332
32PPR0120G,161,167,167,186,190,167,162,160,142,133,120,109,96,114,112,103,96,97,108,102,107,101
32PPR0063F,111,110,110,113,116,108,112,94,97,96,96,100,99,107,110,116,98,70,78,86,102,75
32PPR0027A,323,310,296,275,246,217,225,242,243,259,278,286,298,285,298,248,256,247,237,212,212,237
32PPR0039F,155,162,126,133,137,125,110,109,113,104,92,78,64,69,76,84,85,91,95,97,92,90
32PPR0067B,128,119,128,131,138,132,133,127,121,125,117,93,69,91,71,72,86,71,82,93,99,104
32PPR0086Q,129,120,107,110,89,88,97,89,75,79,87,107,127,85,78,90,94,84,94,85,90,96
32PPR0062G,426,459,443,439,389,389,381,341,324,291,298,273,260,266,265,255,255,240,264,263,249,246
32PPR0090C,347,382,417,428,368,323,281,247,241,252,244,257,256,273,306,289,290,254,245,260,238,259
32PPR0159S,248,230,258,284,284,265,242,239,243,229,252,232,220,230,206,187,145,142,119,121,118,126
32PPR0066C,220,216,219,249,242,225,205,187,192,209,200,212,216,153,142,142,141,123,114,105,126,125
32PPR0022F,203,212,198,193,199,225,226,239,244,233,248,245,247,255,232,213,214,217,208,232,204,200
32PPR0050B,118,134,129,122,138,128,132,112,103,90,87,87,77,78,83,76,87,87,83,90,95,104
32PPR0006O,133,118,99,102,98,97,108,111,109,106,116,102,111,91,99,110,119,126,119,108,90,83
32PPR0026B,260,279,293,279,277,261,229,235,231,240,239,237,235,232,234,221,206,200,201,202,195,189
32PPR0038G,152,162,187,225,201,213,193,154,149,128,118,111,89,75,75,71,71,74,80,92,94,94
32PPR0123D,67,53,44,44,47,43,51,42,47,62,62,67,75,66,95,74,57,76,86,82,94,89
32PPR0001T,92,84,94,84,85,75,78,64,51,68,72,79,86,64,66,63,60,76,82,91,91,74
32PPR0085R,112,105,109,113,136,110,112,102,108,118,91,81,59,76,90,90,100,111,118,109,103,82
32PPR0170O,6,9,11,20,21,32,14,23,29,27,25,16,7,19,19,20,19,24,29,28,30,33
32PPR0089N,327,325,279,280,276,255,255,245,227,216,190,190,174,180,184,189,185,193,185,204,192,188
32PPR0158T,40,51,47,41,50,43,48,50,49,58,50,41,32,45,45,43,24,35,32,30,32,29
32PPR0049M,123,136,134,122,114,104,97,102,103,105,106,96,95,86,88,80,73,67,61,72,70,75
32PPR0162F,102,105,97,84,79,54,38,27,23,35,44,52,59,66,67,61,54,52,52,50,56,57
32PPR0126A,302,307,317,309,308,325,350,349,322,303,280,247,214,267,316,317,330,334,379,383,393,397
32PPR0052Z,112,119,123,120,99,102,118,117,113,117,120,120,123,118,119,117,113,101,106,96,101,127
32PPR0025C,576,587,573,587,556,546,500,461,443,421,392,382,349,332,345,312,287,273,272,253,264,266
32PPR0166B,68,67,82,87,99,104,143,144,141,148,150,145,148,157,162,155,155,161,161,159,161,158
32PPR0169Z,80,132,170,187,222,275,311,327,324,349,355,362,369,401,412,408,373,333,344,354,351,351
32PPR0040V,160,153,131,136,141,149,137,123,138,127,108,108,103,101,92,91,95,86,94,80,76,74
32PPR0088O,329,325,329,340,328,311,329,336,346,352,335,304,273,284,286,267,251,261,284,295,308,336
32PPR0157U,42,58,61,45,39,33,32,24,31,49,46,41,44,57,62,57,57,44,42,52,52,59
32PPR0121F,167,173,156,145,144,127,106,115,113,92,96,112,127,81,93,98,110,106,118,122,118,120
32PPR0064E,786,797,757,677,605,496,459,375,345,339,305,268,231,230,202,175,185,175,195,236,275,319
32PPR0048N,315,316,313,329,308,278,250,230,193,169,129,125,87,143,145,127,134,139,143,147,138,136
32PPR0125B,230,241,249,266,253,265,240,226,218,206,192,176,166,159,160,143,150,161,175,172,153,138
32PPR0109K,252,258,263,261,215,203,178,182,179,190,217,208,218,188,194,177,181,184,185,169,174,158
32PPR0024D,127,140,140,159,181,183,146,128,130,136,136,131,135,155,157,143,122,116,116,115,127,112
32PPR0100T,106,90,91,89,74,68,66,60,57,42,38,39,40,40,41,34,33,23,23,20,14,10
32PPR0156V,131,150,187,202,209,235,222,198,161,183,199,175,180,169,155,114,114,127,136,150,156,128
32PPR0099U,193,195,174,146,130,112,104,91,108,124,127,126,136,150,134,149,132,136,115,109,113,99
32PPR0168Z,187,203,216,207,204,195,191,206,190,191,229,248,279,224,223,214,190,189,178,216,226,220
32PPR0011Z,60,64,65,74,72,73,63,62,53,68,73,66,70,53,54,56,43,37,32,34,36,38
